,Organization,Sponsorship Category,Final Allocation,Org Category,Years of Sponsorship
0,ASUC Mental Health Commission,GOVT,"$3,000",ASUC Chartered Programs and Commissions,
1,ASUC Mental Health Commisssion Chair Stipend,STIPEND,"$1,500",ASUC Chartered Programs and Commissions,
2,ASUC Mental Health Commission Director Stipends,STIPEND,"$1,000",ASUC Chartered Programs and Commissions,
3,ASUC Housing Commission,GOVT,"$3,000",ASUC Chartered Programs and Commissions,
4,ASUC Housing Commission Chair Stipend,STIPEND,"$1,250",ASUC Chartered Programs and Commissions,
5,ASUC Housing Commussion Vice Chair Stipend,STIPEND,$750,ASUC Chartered Programs and Commissions,
6,ASUC Financial Wellness Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
7,ASUC Sexual Violence Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
8,ASUC Disabled Students Commission,GOVT,"$6,000",ASUC Chartered Programs and Commissions,
9,ASUC Disabled Students Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
10,ASUC Intimate Partner Violence Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
11,ASUC Sustainability Commission,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
12,ASUC Sustainablity Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
13,ASUC Health Advocacy Commission,GOVT,"$4,500",ASUC Chartered Programs and Commissions,
14,ASUC Health Advocacy Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
15,ASUC Menstrual Equity Commission,GOVT,"$1,000",ASUC Chartered Programs and Commissions,
16,ASUC Menstrual Equity Commission Co-Chair Stipends ($1000 each),STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
17,ASUC Diversity Affairs Commission,GOVT,SPONSORSHIP ONLY (ABSA),ASUC Chartered Programs and Commissions,
18,"ASUC Student Union Programming, Entertainment, and Recreation Board",GOVT,"$25,000",ASUC Chartered Programs and Commissions,
19,CalTV,GOVT,"$10,000",ASUC Chartered Programs and Commissions,
20,ASUC Publications and Media Board,GOVT,"$12,000",ASUC Chartered Programs and Commissions,
21,Innovative Design,GOVT,"$7,500",ASUC Chartered Programs and Commissions,
22,Open Computing Facility,GOVT,"$40,630",ASUC Chartered Programs and Commissions,
23,DeCal Board,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
24,ASUC Student Legal Clinic,GOVT,"$2,400",ASUC Chartered Programs and Commissions,
25,ASUC Grant & Scholarship Foundation,GOVT,"$5,000",ASUC Chartered Programs and Commissions,
26,ASUC Grant & Scholarship Foundation Director Stipends,STIPEND,"$2,000",ASUC Chartered Programs and Commissions,
27,Asian American Research Journal,Publication (PUB),"$1,000",Publications (PUB) Registered Student Organizations,3
28,Atrium,Publication (PUB),$900,Publications (PUB) Registered Student Organizations,2
29,BARE Magazine,Publication (PUB),"$5,000",Publications (PUB) Registered Student Organizations,11
30,Berkeley Economic Review,Publication (PUB),$800,Publications (PUB) Registered Student Organizations,4
31,Berkeley Fiction Review,Publication (PUB),"$2,856",Publications (PUB) Registered Student Organizations,40
32,Berkeley Poetry Review,Publication (PUB),"$1,277",Publications (PUB) Registered Student Organizations,28
33,"Berkeley Political Review, The",Publication (PUB),"$7,050",Publications (PUB) Registered Student Organizations,21
34,Berkeley Scientific Journal,Publication (PUB),"$2,900",Publications (PUB) Registered Student Organizations,7
35,Blue and Gold Yearbook,Publication (PUB),$800,Publications (PUB) Registered Student Organizations,9
36,Caliber Magazine,Publication (PUB),"$7,000",Publications (PUB) Registered Student Organizations,14
37,Caravan Travel & Style Magazine,Publication (PUB),"$4,000",Publications (PUB) Registered Student Organizations,6
38,Caught on Film,Publication (PUB),$700,Publications (PUB) Registered Student Organizations,2
39,Clio's Scroll,Publication (PUB),"$1,640",Publications (PUB) Registered Student Organizations,23
40,Comparative Literature Publication Association (formerly known as Comparative Literature Undergraduate Journal/ Vagabond),Publication (PUB),$900,Publications (PUB) Registered Student Organizations,3
41,DIASPORA Magazine,Publication (PUB),$700,Publications (PUB) Registered Student Organizations,2
42,Gia Magazine (under QARC),Publication (PUB),SPONSORSHIP ONLY (ABSA),Publications (PUB) Registered Student Organizations,4
43,Her Campus of Berkeley,Publication (PUB),"$1,000",Publications (PUB) Registered Student Organizations,3
44,"Heuristic Squelch, The",Publication (PUB),"$8,000",Publications (PUB) Registered Student Organizations,27
45,Maganda Magazine,Publication (PUB),"$2,363",Publications (PUB) Registered Student Organizations,33
46,Odd Yard Zine,Publication (PUB),SPONSORSHIP ONLY (ABSA),Publications (PUB) Registered Student Organizations,1
47,Perennial: The Undergraduate Environmental Journal of Berkeley,Publication (PUB),$800,Publications (PUB) Registered Student Organizations,3
48,Perspective Magazine,Publication (PUB),"$2,400",Publications (PUB) Registered Student Organizations,26
49,Public Health Advocate,Publication (PUB),"$2,900",Publications (PUB) Registered Student Organizations,19
50,Spoon University at Berkeley,Publication (PUB),$300,Publications (PUB) Registered Student Organizations,9
51,"Free Peach, The",Publication (PUB),$900,Publications (PUB) Registered Student Organizations,2
52,Threads (formerly Al-Bayan),Publication (PUB),"$11,200",Publications (PUB) Registered Student Organizations,24
53,To An Unknown God,Publication (PUB),"$3,000",Publications (PUB) Registered Student Organizations,14
54,Vagabond Multilingual Journal,Publication (PUB),$700,Publications (PUB) Registered Student Organizations,1
55,180 Degrees Consulting at Berkeley,Student Activity Group (SAG),$800,Student Activity Groups (SAG),8
56,3D Modeling and Animation at Berkeley,Student Activity Group (SAG),$800,Student Activity Groups (SAG),5
57,AAAA - Furries at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
58,ABA,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
59,Abba Modern,Student Activity Group (SAG),$640,Student Activity Groups (SAG),7
60,acts2fellowship,Student Activity Group (SAG),"$5,120",Student Activity Groups (SAG),22
61,Aerial and Pole Club at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
62,Aerospace SAE (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),3
63,Afghan Student Association,Student Activity Group (SAG),"$4,400",Student Activity Groups (SAG),15
64,AFX Dance,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),11
65,AI Entrepreneurs at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
66,Aion,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
67,Air Bears - Skydiving Club at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
68,"Alpha Epsilon Zeta Fraternity, Inc.",Student Activity Group (SAG),$400,Student Activity Groups (SAG),17
69,"Alpha Phi Alpha Fraternity, Inc.",Student Activity Group (SAG),"$6,400",Student Activity Groups (SAG),20
70,Alpha Phi Omega,Student Activity Group (SAG),"$4,300",Student Activity Groups (SAG),36
71,American Advertising Federation,Student Activity Group (SAG),$450,Student Activity Groups (SAG),8
72,American Chemical Society at Berkeley Student Chapter,Student Activity Group (SAG),$500,Student Activity Groups (SAG),8
73,American Institute of Aeronautics and Astronautics at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
74,American Institute of Architecture Students,Student Activity Group (SAG),$420,Student Activity Groups (SAG),13
75,American Medical Students Association: Berkeley Premedical Chapter,Student Activity Group (SAG),"$2,000",Student Activity Groups (SAG),25
76,American Medical Women's Association at Berkeley,Student Activity Group (SAG),"$1,600",Student Activity Groups (SAG),8
77,American Nuclear Society (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
78,American Sign Language at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
79,American Society of Civil Engineers (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
80,American Society of Mechanical Engineers (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),3
81,Anthropology Undergraduate Association,Student Activity Group (SAG),$400,Student Activity Groups (SAG),5
82,Arab Student Union,Student Activity Group (SAG),$500,Student Activity Groups (SAG),12
83,Argentine Tango Club of Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),4
84,Armenian Student Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
85,Arnold Air Society,Student Activity Group (SAG),"$1,250",Student Activity Groups (SAG),6
86,Art and Mind,Student Activity Group (SAG),$500,Student Activity Groups (SAG),6
87,Artists in Resonance,Student Activity Group (SAG),"$1,500",Student Activity Groups (SAG),9
88,ASCEND,Student Activity Group (SAG),"$1,200",Student Activity Groups (SAG),15
89,"Asha for Education, Berkeley",Student Activity Group (SAG),"$3,700",Student Activity Groups (SAG),18
90,Asian American Association,Student Activity Group (SAG),"$4,000",Student Activity Groups (SAG),26
91,Asian American and Pacific Islander Health Research Group,Student Activity Group (SAG),$650,Student Activity Groups (SAG),3
92,Asian Pacific American Pre-Law Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
93,Association for Muslim Professional Development,Student Activity Group (SAG),"$2,800",Student Activity Groups (SAG),16
94,Association for Socially Responsible Business,Student Activity Group (SAG),$500,Student Activity Groups (SAG),6
95,Association of Chinese Entrepreneurs at Berkeley,Student Activity Group (SAG),$650,Student Activity Groups (SAG),3
96,Association of Molecular Environmental Biologists in Academia,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
97,Association of Women in EE&CS (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),2
98,Aurum Cosmetics,Student Activity Group (SAG),$400,Student Activity Groups (SAG),5
99,Azaad,Student Activity Group (SAG),$800,Student Activity Groups (SAG),5
100,Azure,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
101,Ballet Company at Berkeley,Student Activity Group (SAG),"$1,760",Student Activity Groups (SAG),12
102,Ballet Folklorico Reflejos del Sol,Student Activity Group (SAG),$960,Student Activity Groups (SAG),10
103,Bangali Student Association at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
104,Bay Advisory Group,Student Activity Group (SAG),$300,Student Activity Groups (SAG),1
105,Bay Area Environmentally Aware Consulting Network,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),13
106,Bear Power Fund,Student Activity Group (SAG),"$1,000",Student Activity Groups (SAG),4
107,Bears for Birds - Audubon at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
108,Behavioral Economics Association at Berkeley,Student Activity Group (SAG),$650,Student Activity Groups (SAG),2
109,BERC Undergraduate,Student Activity Group (SAG),$500,Student Activity Groups (SAG),4
110,Berkeley Ballroom Dancers,Student Activity Group (SAG),$800,Student Activity Groups (SAG),9
111,Berkeley Business Society,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
112,Berkeley Chinese Students and Scholars Association,Student Activity Group (SAG),"$4,000",Student Activity Groups (SAG),17
113,Berkeley Environmental Economics and Policy Students,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
114,Berkeley Innovation,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),7
115,Berkeley Investment Group,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
116,Berkeley Model United Nations Conference (Formerly known as Berkeley Model United Nations),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),5
117,Berkeley Organization for Animal Advocacy,Student Activity Group (SAG),$630,Student Activity Groups (SAG),8
118,Berkeley Tennis Association (Formerly Tennis at Cal),Student Activity Group (SAG),$800,Student Activity Groups (SAG),6
119,Berkeley Women in Business,Student Activity Group (SAG),$800,Student Activity Groups (SAG),19
120,Best Laid Plans,Student Activity Group (SAG),$400,Student Activity Groups (SAG),5
121,Big Data at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),5
122,Bike Builders of Berkeley (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),1
123,BioE Mentor Program,Student Activity Group (SAG),$400,Student Activity Groups (SAG),2
124,Bioengineering Honor Society (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
125,BioethiCAL,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
126,Biofuels Technology Club (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),5
127,Biomedical Engineering Society (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),4
128,Black Pre-Law Association at Berkeley,Student Activity Group (SAG),$375,Student Activity Groups (SAG),6
129,Black Sociological Alliance,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
130,Blockeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),4
131,Board Games at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
132,Bone Health Initiative,Student Activity Group (SAG),$700,Student Activity Groups (SAG),8
133,Brazilian jiu-jitsu at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
134,Brazilian Student Association at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
135,BridgeUSA at Berkeley,Student Activity Group (SAG),"$1,450",Student Activity Groups (SAG),6
136,Burmese Students Association at Berkeley (Formerly: Burma Association at Berkeley),Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
137,Business Careers in Entertainment Club,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
138,Cal American Civil Liberties Union,Student Activity Group (SAG),$420,Student Activity Groups (SAG),7
139,Cal Berkeley Democrats,Student Activity Group (SAG),"$4,500",Student Activity Groups (SAG),26
140,Cal Bhangra (formerly Golden Bear Competitive Bhangra),Student Activity Group (SAG),"$4,200",Student Activity Groups (SAG),10
141,Cal Chorale,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
142,Cal Dragon Boat,Student Activity Group (SAG),"$11,900",Student Activity Groups (SAG),20
143,Cal Hawai'i Club,Student Activity Group (SAG),"$3,600",Student Activity Groups (SAG),35
144,Cal Hiking and Outdoor Society,Student Activity Group (SAG),"$6,720",Student Activity Groups (SAG),75
145,Cal in the Capital,Student Activity Group (SAG),"$2,500",Student Activity Groups (SAG),45
146,Cal Japan Club,Student Activity Group (SAG),"$2,800",Student Activity Groups (SAG),16
147,Cal Pre-Vet Club,Student Activity Group (SAG),$400,Student Activity Groups (SAG),13
148,Cal Queer & Asian (under QARC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),15
149,Cal Super Mileage Vehicle Team,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),4
150,Cal Taiko,Student Activity Group (SAG),"$5,600",Student Activity Groups (SAG),19
151,Cal Undergraduate Public Health Coalition,Student Activity Group (SAG),$800,Student Activity Groups (SAG),19
152,Cal Veterans Group,Student Activity Group (SAG),"$4,250",Student Activity Groups (SAG),14
153,California Mock Trial,Student Activity Group (SAG),"$8,000",Student Activity Groups (SAG),23
154,California Mock Trial (Pre-Waived Travel),TRAVL,"$19,000",Student Activity Groups (SAG),23
155,CalSol (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
156,Cases over Coffee @ Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
157,Catalyst,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
158,Catholic Students at Cal - Newman Hall,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
159,Chi Epsilon - Civil Engineering Honor Society (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
160,Chicanx/ Latinx Architecture Student Association,Student Activity Group (SAG),$700,Student Activity Groups (SAG),5
161,Chinese Finance Club,Student Activity Group (SAG),$800,Student Activity Groups (SAG),6
162,Chinese Student Association,Student Activity Group (SAG),"$10,200",Student Activity Groups (SAG),34
163,Chinese Undergraduate Pre-Law Student Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
164,Cinematic Arts and Production club,Student Activity Group (SAG),"$4,500",Student Activity Groups (SAG),4
165,Circle K International,Student Activity Group (SAG),"$5,040",Student Activity Groups (SAG),29
166,Clay Club,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
167,CMG Strategy Consulting (Formerly Creative Marketing Group),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),1
168,Code For Good,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
169,Codebase,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),7
170,Codeology,Student Activity Group (SAG),"$1,000",Student Activity Groups (SAG),6
171,Codify,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
172,Coffee Club at Berkeley (CCB),Student Activity Group (SAG),$650,Student Activity Groups (SAG),2
173,Cognitive Science Students Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
174,Combat Robotics at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
175,Computer Science Undergraduate Association,Student Activity Group (SAG),"$2,000",Student Activity Groups (SAG),49
176,Consciousness Collective at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
177,Consult Your Community (CYC) at Berkeley,Student Activity Group (SAG),"$2,310",Student Activity Groups (SAG),10
178,Core Consulting Group,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
179,Creative Applications to Life in Origami,Student Activity Group (SAG),$525,Student Activity Groups (SAG),10
180,Cub Support,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
181,DAES’ Black Film Collective,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
182,Dance Creation,Student Activity Group (SAG),$200,Student Activity Groups (SAG),1
183,Dance Games at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
184,Dance the Bay,Student Activity Group (SAG),"$1,120",Student Activity Groups (SAG),10
185,Danceworx,Student Activity Group (SAG),"$4,000",Student Activity Groups (SAG),27
186,Data Science Society at Berkeley,Student Activity Group (SAG),"$1,760",Student Activity Groups (SAG),8
187,DataGood at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
188,DataStory,Student Activity Group (SAG),$500,Student Activity Groups (SAG),5
189,Debate Society of Berkeley,Student Activity Group (SAG),"$3,200",Student Activity Groups (SAG),11
190,DeCadence,Student Activity Group (SAG),"$1,995",Student Activity Groups (SAG),23
191,Delta Consulting,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),4
192,Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,Student Activity Group (SAG),$450,Student Activity Groups (SAG),19
193,Design at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
194,Dil Se,Student Activity Group (SAG),$640,Student Activity Groups (SAG),8
195,DiversaTech,Student Activity Group (SAG),$400,Student Activity Groups (SAG),4
196,Diversity and Inclusion in Real Estate,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
197,Drawn to Scale,Student Activity Group (SAG),$800,Student Activity Groups (SAG),11
198,DREAM Campus Ministry,Student Activity Group (SAG),$300,Student Activity Groups (SAG),1
199,Dutch Student Association at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
200,East Asian Union,Student Activity Group (SAG),"$5,600",Student Activity Groups (SAG),14
201,Eggster Organization,Student Activity Group (SAG),"$3,500",Student Activity Groups (SAG),23
202,EnableTech (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
203,Engineering Student Council,Student Activity Group (SAG),"$100,000",Student Activity Groups (SAG),33
204,Entomology Club,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
205,Environmental Sciences Student Association,Student Activity Group (SAG),$650,Student Activity Groups (SAG),3
206,Environmental Team (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),3
207,Epsilon Pi at Berkeley (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
208,Eta Kappa Nu (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
209,EthiCAL Apparel,Student Activity Group (SAG),$300,Student Activity Groups (SAG),2
210,Eustory at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
211,Extended Reality @ Berkeley (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),3
212,Faces of African Muslims,Student Activity Group (SAG),"$8,000",Student Activity Groups (SAG),6
213,Fashion and Student Trends,Student Activity Group (SAG),"$5,000",Student Activity Groups (SAG),12
214,Fei Tian Dancers,Student Activity Group (SAG),"$2,000",Student Activity Groups (SAG),18
215,Fellowship in Christ in Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),3
216,Fighting Games at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
217,Finance Club at Berkeley (BFC) [Formerly Sales and Trading Club at Berkeley],Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
218,Firework Band,Student Activity Group (SAG),$650,Student Activity Groups (SAG),2
219,For Christ's Sake,Student Activity Group (SAG),$500,Student Activity Groups (SAG),4
220,Foresight Pre-Optometry Club,Student Activity Group (SAG),"$1,300",Student Activity Groups (SAG),30
221,Formula Electric at Berkeley (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),3
222,Formula SAE (Society of Automotive Engineers) [under ESC],Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),7
223,Frontera at Berkeley,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
224,"Future Business Leaders of America-Phi Beta Lambda, Inc.",Student Activity Group (SAG),"$3,780",Student Activity Groups (SAG),18
225,Game Design and Development at Berkeley,Student Activity Group (SAG),$480,Student Activity Groups (SAG),5
226,Garak,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
227,Girl UP,Student Activity Group (SAG),$400,Student Activity Groups (SAG),2
228,Global Research and Consulting Group at Berkeley,Student Activity Group (SAG),$650,Student Activity Groups (SAG),3
229,Greeks Against Sexual Assault at Berkeley (GASA),Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
230,Haas Undergraduate Black Business Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
231,Hack the Bay,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),1
232,Hades Scientific,Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
233,Health and Medical Apprenticeship Program,Student Activity Group (SAG),"$10,890",Student Activity Groups (SAG),40
234,Healthcare Consulting Group at Berkeley,Student Activity Group (SAG),$560,Student Activity Groups (SAG),5
235,Henna and Rangoli at Berkeley,Student Activity Group (SAG),$350,Student Activity Groups (SAG),1
236,Hindu Students Council,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
237,"Hindu YUVA-Youth for Unity, Virtues and Action",Student Activity Group (SAG),$400,Student Activity Groups (SAG),1
238,Hispanic Engineers and Scientists (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
239,Historical Fencing Club of Berkeley,Student Activity Group (SAG),"$1,200",Student Activity Groups (SAG),5
240,Hmong Student Association at Berkeley,Student Activity Group (SAG),"$3,200",Student Activity Groups (SAG),16
241,HoneyBee,Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),1
242,Hong Kong Student Association,Student Activity Group (SAG),"$1,600",Student Activity Groups (SAG),30
243,Human Powered Vehicle (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),8
244,IEEE Student Branch (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),7
245,iGEM at Berkeley (under ESC),Student Activity Group (SAG),SPONSORSHIP ONLY (ABSA),Student Activity Groups (SAG),6
246,Ignite Ministries,Student Activity Group (SAG),$500,Student Activity Groups (SAG),1
247,Indian Students Association,Student Activity Group (SAG),"$9,600",Student Activity Groups (SAG),20
248,International Consulting Club at Berkeley,Student Activity Group (SAG),$500,Student Activity Groups (SAG),2
249,International Healthcare Association,Student Activity Group (SAG),$500,Student Activity Groups (SAG),4
250,International Students Association at Berkeley,Student Activity Group (SAG),"$4,000",Student Activity Groups (SAG),23
251,InterVarsity Christian Fellowship,Student Activity Group (SAG),"$5,843",Student Activity Groups (SAG),25
252,Invention Corps of Berkeley,Student Activity Group (SAG),"$1,680",Student Activity Groups (SAG),4
